COMPLETE,STOREDGRAINS,SPECIES,AUTHOR,YEAR,TITLE,JOURNAL,DOI,ABSENT.PRESENT.APRD,LOCALITY,TRUE/FALSE.APPROXIMATE LOCATION,LONG,LAT,CHEM.IRAC,CHEM.GROUP,CHEM.ACTIVE,STRAIN.TEST,STRAIN.REF,RESISTANCE,SEVERITY,METHOD,LC50.Y,LC50.UNIT,RES.RATIO,VOL.LITERS,ng.PER.IND,SLOPE,SURV.PROP,LARVAE.DENSITY,CROP.DAMAGED.PERCENT,LIFESTAGE,COLLECT.YEAR,CROP,TEMP,NOTES,CHECK.POINT,STATE,MECHANISM,COMMON.ACTIVES,point_id,REGION
NA,FALSE,Frankliniella occidentalis,Herron,2011,An increase in spinosad resistance detected in Australian Frankliniella occidentalis (Pergande) (Thripidae: Thysanoptera),General and Applied Entomology,NA,0,Winmalee,FALSE,150.6189,-33.6725,2B,Phenylpyrazoles (Fiproles),Fipronil,Oasis,Susceptible,1,HIGH,RR,NA,NA,235,NA,NA,NA,NA,NA,NA,Adult,2010,Chrysanthemum,25,"Reported, but data not shown",2020_04_14,NSW,NA,Fipronil; Pyriprol,11,Greater Sydney
NA,FALSE,Frankliniella occidentalis,Herron,2011,An increase in spinosad resistance detected in Australian Frankliniella occidentalis (Pergande) (Thripidae: Thysanoptera),General and Applied Entomology,NA,0,Winmalee,FALSE,150.6189,-33.6725,5,Spinosyns,Spinosad,Oasis,Susceptible,1,HIGH,RR,0.94,g AI/L,1402,NA,NA,3.1,NA,NA,NA,Adult,2010,Chrysanthemum,25,NA,2020_04_14,NSW,NA,Spinetoram; Spinosad,12,Greater Sydney
NA,FALSE,Halotydeus destructor,Umina,2012,The current status of pesticide resistance in Australian populations of the redlegged earth mite (Halotydeus destructor),Pest Management Science,10.1002/ps.3247,0,Albany,TRUE,117.881654,-35.025891,3A,"Pyrethroids, Pyrethrins",Bifenthrin,RL01,Diamond Creek,1,HIGH,RR,3363.305,mg AI/L,35224,NA,NA,5.263,NA,NA,NA,Adult,2007,Pasture,18,NA,2020_04_14,WA,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,13,South Coast Region
NA,FALSE,Halotydeus destructor,Umina,2012,The current status of pesticide resistance in Australian populations of the redlegged earth mite (Halotydeus destructor),Pest Management Science,10.1002/ps.3247,0,Albany,TRUE,117.881654,-35.025891,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,RL01,Diamond Creek,1,HIGH,RR,210.873,mg AI/L,1369,NA,NA,2.656,NA,NA,NA,Adult,2007,Pasture,18,NA,2020_04_14,WA,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,14,South Coast Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Omethoate,Capel1,Diamond Creek,1,MODERATE,RR,6.531,mg AI/L,28.9,NA,NA,225.05,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,15,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Omethoate,Capel2,Diamond Creek,1,MODERATE,RR,21.05,mg AI/L,13.3,NA,NA,2.71,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,16,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Omethoate,Capel3,Diamond Creek,1,MODERATE,RR,64.29,mg AI/L,40.7,NA,NA,1.57,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,17,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Chlorpyrifos,Capel2,Diamond Creek,1,MODERATE,RR,97.64,mg AI/L,35.5,NA,NA,1.43,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,18,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Chlorpyrifos,Capel3,Diamond Creek,1,MODERATE,RR,69.43,mg AI/L,25.2,NA,NA,2.28,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,19,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Malathion,Capel2,Diamond Creek,1,HIGH,RR,6789,mg AI/L,415,NA,NA,1.26,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,20,South West Region
NA,FALSE,Halotydeus destructor,Umina,2017,"Discovery and characterisation of field resistance to organophosphorus chemicals in a major mite pest,Â Halotydeus destructor",Pest Management Science,10.1002/ps.4520,0,Capel,FALSE,115.5617,-33.5426,1B,Organophosphates,Malathion,Capel3,Diamond Creek,1,HIGH,RR,6334,mg AI/L,387,NA,NA,1.56,NA,NA,NA,Adult,2014,Pasture,18,NA,2020_04_14,WA,NA,Chlorpyrifos; Dimethoate; Acephate,21,South West Region
NA,FALSE,Helicoverpa armigera,Easton,1993,Resistance to organophosphate insecticide in Helicoverpa armigera (HÃ¼bner) (Lepidoptera: Noctuidae) in Australia,General and Applied Entomology,NA,0,Trangie,FALSE,147.9816,-32.0334,1B,Organophosphates,Profenofos,Trangie,Lab susceptible,1,MODERATE,RR,4.2,Î¼g/larva,35,NA,NA,1.3,95,NA,NA,3rd instar,1991,Cotton,25,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,22,Central West
NA,FALSE,Helicoverpa armigera,Easton,1993,Resistance to organophosphate insecticide in Helicoverpa armigera (HÃ¼bner) (Lepidoptera: Noctuidae) in Australia,General and Applied Entomology,NA,0,Jerrys Plains,FALSE,150.9148,-32.5102,1B,Organophosphates,Profenofos,Jerrys Plains,Lab susceptible,1,LOW,RR,0.71,Î¼g/larva,5.916666667,NA,NA,1.7,15,NA,NA,3rd instar,1987,Maize,25,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,23,Hunter
NA,FALSE,Myzus persicae,de Little,2017,Discovery of metabolic resistance to neonicotinoids in green peach aphids (Myzus persicae) in Australia,Pest Management Science,10.1002/ps.4495,0,Airville,TRUE,147.346,-19.631,4A,Neonicotinoids,Imidacloprid,Airville,Susceptible,1,MODERATE,RR,0.209,ng Al/aphid,24.7,NA,NA,1.56,NA,NA,NA,Adult,2013,Capsicum,20,NA,2020_04_14,NA,NA,Imidacloprid; Thiamethoxam; Acetamiprid,24,Burdekin
NA,FALSE,Myzus persicae,de Little,2017,Discovery of metabolic resistance to neonicotinoids in green peach aphids (Myzus persicae) in Australia,Pest Management Science,10.1002/ps.4495,0,Bindoon,TRUE,116.097,-31.38,4A,Neonicotinoids,Imidacloprid,Bindoon,Susceptible,1,MODERATE,RR,0.189,ng Al/aphid,22.3,NA,NA,1.03,NA,NA,NA,Adult,2013,Canola,20,NA,2020_04_14,WA,CYP6CY3,Imidacloprid; Thiamethoxam; Acetamiprid,25,Swan Region
NA,FALSE,Myzus persicae,de Little,2017,Discovery of metabolic resistance to neonicotinoids in green peach aphids (Myzus persicae) in Australia,Pest Management Science,10.1002/ps.4495,0,Pemberton,TRUE,116.05,-34.44,4A,Neonicotinoids,Imidacloprid,Pemberton,Susceptible,1,MODERATE,RR,1.155,ng Al/aphid,18.3,NA,NA,0.91,NA,NA,NA,Adult,2015,Wild radish,20,NA,2020_04_14,WA,CYP6CY3,Imidacloprid; Thiamethoxam; Acetamiprid,26,South West Region
NA,FALSE,Myzus persicae,de Little,2017,"Susceptibility of Australian Myzus persicae (Hemiptera: Aphididae) to Three Recently Registered Insecticides: Spirotetramat, Cyantraniliprole, and Sulfoxaflor",Journal of Economic Entomology,10.1093/jee/tox132,0,Wesley Vale,TRUE,146.455,-41.19,4C,Sulfoximines,Sulfoxaflor,Wesley Vale,Susceptible,1,LOW,RR,0.0144,ng AI/aphid,6,NA,NA,0.69,NA,NA,NA,Adult,2015,Broccoli,19,NA,2020_04_14,TAS,NA,Sulfoxaflor,27,North West NRM Region
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Cobram,FALSE,145.65,-35.9667,1B,Organophosphates,Demeton-S-methyl,Cobram,Rydalmere,1,MODERATE,RR,12,ng AI/aphid,18,NA,NA,1.9,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,VIC,NA,Chlorpyrifos; Dimethoate; Acephate,28,Goulburn Broken
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Atherton,FALSE,145.4859,-17.2661,1B,Organophosphates,Demeton-S-methyl,Atherton,Rydalmere,1,MODERATE,RR,12,ng AI/aphid,18,NA,NA,2,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,QLD,NA,Chlorpyrifos; Dimethoate; Acephate,29,Wet Tropics
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Yanco,FALSE,146.4097,-34.6035,1B,Organophosphates,Demeton-S-methyl,Yanco,Rydalmere,1,MODERATE,RR,10.4,ng AI/aphid,16,NA,NA,2.1,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,30,Riverina
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Bathurst,FALSE,149.5775,-33.4193,1B,Organophosphates,Demeton-S-methyl,Bathurst (B1),Rydalmere,1,MODERATE,RR,9.2,ng AI/aphid,14,NA,NA,2.2,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,31,Central Tablelands
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Cobram,FALSE,145.65,-35.9667,1B,Organophosphates,Dimethoate,Cobram,Rydalmere,1,MODERATE,RR,60,ng AI/aphid,50,NA,NA,1.9,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,VIC,NA,Chlorpyrifos; Dimethoate; Acephate,32,Goulburn Broken
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Atherton,FALSE,145.4859,-17.2661,1B,Organophosphates,Dimethoate,Atherton,Rydalmere,1,MODERATE,RR,44,ng AI/aphid,37,NA,NA,1.8,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,QLD,NA,Chlorpyrifos; Dimethoate; Acephate,33,Wet Tropics
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Yanco,FALSE,146.4097,-34.6035,1B,Organophosphates,Dimethoate,Yanco,Rydalmere,1,MODERATE,RR,21,ng AI/aphid,17,NA,NA,2.1,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,34,Riverina
NA,FALSE,Myzus persicae,Hamilton,1978,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Bathurst,FALSE,149.5775,-33.4193,1B,Organophosphates,Dimethoate,Bathurst (B1),Rydalmere,1,MODERATE,RR,27,ng AI/aphid,23,NA,NA,1.9,NA,NA,NA,Adult,1978,Peach,26,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,35,Central Tablelands
NA,FALSE,Myzus persicae,Herron,1993,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Spring Hill,FALSE,149.1522,-33.3983,1B,Organophosphates,Demeton-S-methyl,SH,Rydalmere,1,MODERATE,RR,381,mg AI/L,14.8,0.002,762000,3,NA,NA,NA,Adult,1988,Stone fruit,25,NA,2020_04_14,NSW,NA,Chlorpyrifos; Dimethoate; Acephate,36,Central Tablelands
NA,FALSE,Myzus persicae,Herron,1993,Myzus persicae (Sulzer): Strains Resistant To Demetonâ€Smethyl and Dimethoate in Australia,Australian Journal of Entomology,10.1111/j.1440-6055.1978.tb01746.x,1,Spring Hill,FALSE,149.1522,-33.3983,1A,Carbamates,Pirimicarb,SH,Rydalmere,1,LOW,RR,140,mg AI/L,7.5,0.002,280000,3.3,NA,NA,NA,Adult,1988,Stone fruit,25,NA,2020_04_14,NSW,NA,Methomyl; Pirimicarb; Carbaryl,37,Central Tablelands
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Deniliquin,TRUE,145.2411,-35.2238,1A,Carbamates,Pirimicarb,Deniliquin,Shepparton,1,HIGH,RR,2874,mg AI/L,228.0952381,NA,NA,NA,NA,NA,NA,Adult,2012,Canola,19,NA,2020_04_14,NSW,NA,Methomyl; Pirimicarb; Carbaryl,38,Murray
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,York,TRUE,116.4133,-31.8756,1A,Carbamates,Pirimicarb,York,Shepparton,1,MODERATE,RR,474.32,mg AI/L,37.64444444,NA,NA,NA,NA,NA,NA,Adult,2013,Canola,19,NA,2020_04_14,WA,NA,Methomyl; Pirimicarb; Carbaryl,39,Swan Region
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Bindoon,TRUE,116.0947,-31.3769,1A,Carbamates,Pirimicarb,Bindoon,Shepparton,1,HIGH,RR,3909,mg AI/L,310.2380952,NA,NA,NA,NA,NA,NA,Adult,2013,Canola,19,NA,2020_04_14,WA,NA,Methomyl; Pirimicarb; Carbaryl,40,Swan Region
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Toowoomba,TRUE,152.1447,-27.5644,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Toowoomba,Shepparton,1,MODERATE,RR,3.072,mg AI/L,16.16842105,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,QLD,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,41,South East Queensland
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Temora,TRUE,147.5044,-34.51,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Temora,Shepparton,1,LOW,RR,1.033,mg AI/L,5.436842105,NA,NA,NA,NA,NA,NA,Adult,2012,Canola,19,NA,2020_04_14,NSW,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,42,Riverina
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Barooga,TRUE,145.4506,-35.5531,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Barooga,Shepparton,1,MODERATE,RR,2.396,mg AI/L,12.61052632,NA,NA,NA,NA,NA,NA,Adult,2012,Canola,19,NA,2020_04_14,NSW,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,43,Murray
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Yarragon,TRUE,146.0844,-38.1597,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Yarragon,Shepparton,1,HIGH,RR,286.66,mg AI/L,1508.736842,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,VIC,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,44,West Gippsland
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Ferntree,TRUE,145.2953,-37.8836,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Ferntree,Shepparton,1,MODERATE,RR,8.739,mg AI/L,45.99473684,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,VIC,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,45,Port Phillip and Western Port
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Colac,TRUE,143.6697,-38.3492,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Colac,Shepparton,1,LOW,RR,1.417,mg AI/L,7.457894737,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,VIC,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,46,Corangamite
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Horsham,TRUE,142.2,-36.7,3A,"Pyrethroids, Pyrethrins",alpha-Cypermethrin,Horsham,Shepparton,1,LOW,RR,1.549,mg AI/L,8.152631579,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,VIC,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,47,Wimmera
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Bundaberg,TRUE,152.4403,-24.8508,1B,Organophosphates,Dimethoate,Bundaberg,Shepparton,1,LOW,RR,106.984,mg AI/L,6.88886027,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,QLD,ace2,Chlorpyrifos; Dimethoate; Acephate,48,Burnett Mary
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Bundaberg,TRUE,152.4403,-24.8508,1B,Organophosphates,Dimethoate,Bundaberg,Shepparton,1,LOW,RR,106.984,mg AI/L,6.88886027,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,QLD,E4 esterases,Chlorpyrifos; Dimethoate; Acephate,49,Burnett Mary
NA,FALSE,Myzus persicae,Umina,2014,High levels of resistance to carbamate and pyrethroid chemicals widespread in Australian Myzus persicae (Hemiptera: Aphididae) populations,Journal of Economic Entomology,10.1603/EC14063,1,Felton,TRUE,151.9669,-27.9331,1B,Organophosphates,Dimethoate,Felton,Shepparton,1,MODERATE,RR,228.87,mg AI/L,14.73728268,NA,NA,NA,NA,NA,NA,Adult,2012,NA,19,NA,2020_04_14,QLD,ace2,Chlorpyrifos; Dimethoate; Acephate,50,Condamine
